Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
wpn_apex_prowler_fire_npc,,loaded,apex\wpn\prowler\wpn_apex_prowler_start.wav,,,,,wpn_apex_prowler_lfe_npc,,,BUS_FX,grp_weapon_3p,snp_wpn_3p,,59,0,76,76,1000,6000,6000,defaultmin,default,alloff,rcurve3,8,priority,3,oldest,0,0,40,90,0.25,0.8,no,3d,default,,nonlooping,,1,0,1500,12000,0,0.5,,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,1500,6000,,no,no,no,no,no,no,no,,,
wpn_apex_prowler_fire_npc,,loaded,apex\wpn\prowler\wpn_apex_prowler_start.wav,,,,,wpn_apex_prowler_lfe_npc,,,BUS_FX,grp_weapon_3p,snp_wpn_3p,,70,0,80,80,1500,6000,6000,defaultmin,default,allon,default,8,priority,3,oldest,0,0,40,90,0.25,0.8,no,3d,default,,nonlooping,,1,0,1500,12000,0,0.5,,yes,,0,,no,water,under,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,750,3000,,no,no,no,no,no,no,no,,,
wpn_apex_prowler_fire_plr,,loaded,apex\wpn\prowler\wpn_apex_prowler_start.wav,,,,,wpn_apex_prowler_lfe_plr,,,BUS_FX,grp_weapon,snp_wpn_1p_shot,wpn_cmn_shot_plr,65,0,79,79,0,10000,10000,allon,default,allon,default,8,priority,1,oldest,0,0,90,90,0.25,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,water,over,,,,,,,yes,no,no,0,120,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_apex_prowler_fire_plr,,loaded,apex\wpn\prowler\wpn_apex_prowler_start.wav,,,,,wpn_apex_prowler_lfe_plr,,,BUS_FX,grp_weapon,snp_wpn_1p_shot,wpn_cmn_shot_plr,82,0,82,82,0,10000,10000,allon,default,allon,default,8,priority,1,oldest,0,0,90,90,0.25,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,water,under,,,,,,,yes,no,no,0,120,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_apex_prowler_lfe_npc,,loaded,apex\wpn\prowler\wpn_apex_prowler_lfe.wav,,apex\wpn\prowler\wpn_apex_prowler_lfe.wav,,,wpn_ar_int_augment_loop_npc,,,BUS_HDRFX,grp_wpn_lfe,snp_wpn_3p,,0,0,84,84,100,574,574,defaultmin,default,allon,default,3,priority,1,oldest,0,0,40,90,0.25,0.8,no,3d,lfe,,nonlooping,,1,0,0,0,0,0.5,,no,,0,,no,water,over,,,,,,,yes,no,no,0,64,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_apex_prowler_lfe_npc,,loaded,apex\wpn\prowler\wpn_apex_prowler_lfe.wav,,apex\wpn\prowler\wpn_apex_prowler_lfe.wav,,,,,,BUS_HDRFX,grp_wpn_lfe,snp_wpn_3p,,0,0,84,84,100,574,574,defaultmin,default,allon,default,3,priority,1,oldest,0,0,40,90,0.25,0.8,no,3d,lfe,,nonlooping,,1,0,0,0,0,0.5,,no,,0,,no,water,under,,,,,,,yes,no,no,0,64,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_apex_prowler_lfe_plr,,loaded,apex\wpn\prowler\wpn_apex_prowler_lfe.wav,,apex\wpn\prowler\wpn_apex_prowler_lfe.wav,,,wpn_ar_int_augment_loop,,,BUS_FX,grp_wpn_lfe,snp_wpn_1p_act,,0,0,99,99,0,10000,10000,allon,default,allon,default,8,priority,1,oldest,0,0,90,90,0.25,1,no,2d,lfe,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,water,over,,,,,,,yes,no,no,0,64,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_apex_prowler_lfe_plr,,loaded,apex\wpn\prowler\wpn_apex_prowler_lfe.wav,,apex\wpn\prowler\wpn_apex_prowler_lfe.wav,,,,,,BUS_FX,grp_wpn_lfe,snp_wpn_1p_act,,0,0,99,99,0,10000,10000,allon,default,allon,default,8,priority,1,oldest,0,0,90,90,0.25,1,no,2d,lfe,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,water,under,,,,,,,yes,no,no,0,64,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_apex_prowler_bolt,,loaded,apex\wpn\prowler\wpn_apex_prowler_bolt.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,61,0,76,80,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_apex_prowler_clip_in,,loaded,apex\wpn\prowler\wpn_apex_prowler_clip_in.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,61,0,76,80,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,,no,,,,,,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
