Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
wpn_bal_knife_whoosh_close,,loaded,prj\bolt\whoosh\close\close_00.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,35,0,60,60,50,450,3000,allon,default,allon,default,6,reject,8,oldest,0,300,50,90,0.25,1,no,3d,default,,looping,,1,0,50,200,80,0.2,no,no,,0,,yes,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_bal_knife_whoosh_close,,loaded,prj\bolt\whoosh\close\close_01.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,35,0,60,60,50,450,3000,allon,default,allon,default,6,reject,8,oldest,0,300,50,90,0.25,1,no,3d,default,,looping,,1,0,50,200,80,0.2,no,no,,0,,yes,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_bal_knife_whoosh_close,,loaded,prj\bolt\whoosh\close\close_02.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_3p,,35,0,60,60,50,450,3000,allon,default,allon,default,6,reject,8,oldest,0,300,50,90,0.25,1,no,3d,default,,looping,,1,0,50,200,80,0.2,no,no,,0,,yes,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_bal_knife_whoosh_dist,,loaded,prj\bolt\whoosh\dist\dist_00.wav,,,,,wpn_bal_knife_whoosh_close,,,BUS_FX,grp_weapon,snp_wpn_3p,,35,0,60,60,250,2000,3000,allon,default,allon,default,6,reject,8,oldest,0,300,50,90,0.25,1,no,3d,default,,looping,,1,0,50,200,80,0.2,no,no,,0,,yes,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_bal_knife_whoosh_dist,,loaded,prj\bolt\whoosh\dist\dist_01.wav,,,,,wpn_bal_knife_whoosh_close,,,BUS_FX,grp_weapon,snp_wpn_3p,,35,0,60,60,250,2000,3000,allon,default,allon,default,6,reject,8,oldest,0,300,50,90,0.25,1,no,3d,default,,looping,,1,0,50,200,80,0.2,no,no,,0,,yes,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_bal_knife_whoosh_dist,,loaded,prj\bolt\whoosh\dist\dist_02.wav,,,,,wpn_bal_knife_whoosh_close,,,BUS_FX,grp_weapon,snp_wpn_3p,,35,0,60,60,250,2000,3000,allon,default,allon,default,6,reject,8,oldest,0,300,50,90,0.25,1,no,3d,default,,looping,,1,0,50,200,80,0.2,no,no,,0,,yes,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_bal_knife_dryfire_npc,,loaded,wpn\crossbow\dry_fire\npc\dry_fire_00.wav,,,,,,,,BUS_FX,grp_weapon_3p,snp_wpn_3p,,0,0,85,85,500,500,1802,cosdelay,alloff,cosdelay,default,6,priority,2,oldest,-88,84,20,90,0.25,0.8,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_bal_knife_dryfire_plr,,loaded,wpn\crossbow\dry_fire\plr\dry_fire_00.wav,,,,,,,,BUS_FX,grp_weapon,snp_wpn_1p,,70,0,88,88,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,0,0,90,90,0.25,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_bal_knife_fire_npc,,loaded,wpn\melee\ballistic_knife\plr\shot\shot_00.wav,,,,,,,,BUS_FX,grp_weapon_3p,snp_wpn_3p,,0,0,85,85,300,750,1802,cosdelay,alloff,cosdelay,default,6,priority,1,reject,-80,80,90,91,0.25,0.8,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
wpn_bal_knife_fire_npc,,loaded,wpn\melee\ballistic_knife\plr\shot\shot_01.wav,,,,,,,,BUS_FX,grp_weapon_3p,snp_wpn_3p,,0,0,85,85,300,750,1802,cosdelay,alloff,cosdelay,default,6,priority,1,reject,-80,80,90,91,0.25,0.8,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,
