Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
fly_disc_cover_close,,loaded,fly\weapon\reload\disc\fly_disc_cover_close.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,60,0,87,91,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
fly_disc_cover_close_npc,,loaded,fly\weapon\reload\disc\fly_disc_cover_close.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,10,0,75,78,150,1000,1000,allon,default,allon,default,4,priority,8,oldest,-90,90,15,30,0.25,1,no,3d,default,,nonlooping,,1,0,50,500,75,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
fly_disc_cover_open,,loaded,fly\weapon\reload\disc\fly_disc_cover_open.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,60,0,87,91,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
fly_disc_cover_open_npc,,loaded,fly\weapon\reload\disc\fly_disc_cover_open.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,10,0,75,78,150,1000,1000,allon,default,allon,default,4,priority,8,oldest,-90,90,15,30,0.25,1,no,3d,default,,nonlooping,,1,0,50,500,75,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
fly_disc_hatch_close,,loaded,fly\weapon\reload\disc\fly_disc_hatch_close.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,60,0,87,91,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
fly_disc_hatch_open,,loaded,fly\weapon\reload\disc\fly_disc_hatch_open.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,60,0,87,91,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
fly_disc_mag_in,,loaded,fly\weapon\reload\disc\fly_disc_mag_in.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,60,0,90,94,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
fly_disc_mag_in_npc,,loaded,fly\weapon\reload\disc\fly_disc_mag_in.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,10,0,75,78,150,1000,1000,allon,default,allon,default,4,priority,8,oldest,-90,90,15,30,0.25,1,no,3d,default,,nonlooping,,1,0,50,500,75,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
fly_disc_mag_out,,loaded,fly\weapon\reload\disc\fly_disc_mag_out.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,60,0,95,95,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,-88,84,70,70,0.25,1,no,2d,front_mostly,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,water,over,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
fly_disc_mag_out_npc,,loaded,fly\weapon\reload\disc\fly_disc_mag_out.wav,,,,,,,,BUS_FX,grp_foley,snp_foley,,10,0,95,95,150,1000,1000,allon,default,allon,default,4,priority,8,oldest,-90,90,15,30,0.25,1,no,3d,default,,nonlooping,,1,0,50,500,75,0.25,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_disc_whizby,,loaded,prj\rocket\whizby\rocket_whizby_00.wav,,,,,,,,BUS_FX,grp_impacts,snp_wpn_3p,,30,0,0,0,150,1150,1150,allon,default,allon,default,1,priority,8,oldest,0,300,50,90,0.25,1,no,3d,default,,nonlooping,,1,0,50,200,80,0.2,no,no,,0,,yes,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_disc_whizby,,loaded,prj\rocket\whizby\rocket_whizby_01.wav,,,,,,,,BUS_FX,grp_impacts,snp_wpn_3p,,30,0,0,0,150,1150,1150,allon,default,allon,default,1,priority,8,oldest,0,300,50,90,0.25,1,no,3d,default,,nonlooping,,1,0,50,200,80,0.2,no,no,,0,,yes,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_disc_whizby,,loaded,prj\rocket\whizby\rocket_whizby_02.wav,,,,,,,,BUS_FX,grp_impacts,snp_wpn_3p,,30,0,0,0,150,1150,1150,allon,default,allon,default,1,priority,8,oldest,0,300,50,90,0.25,1,no,3d,default,,nonlooping,,1,0,50,200,80,0.2,no,no,,0,,yes,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_discgun_act_npc,,loaded,fly\weapon\reload\disc\fly_disc_cover_close.wav,,,,,wpn_discgun_lfe_npc,,,BUS_FX,grp_weapon_3p,snp_wpn_3p,,40,0,75,75,150,600,600,defaultmin,default,allon,default,6,priority,1,oldest,0,0,40,90,0.25,0.8,no,3d,default,,nonlooping,,1,0,0,0,0,0.5,no,yes,,0,,no,water,over,water,over,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_discgun_act_plr,,loaded,fly\weapon\reload\disc\fly_disc_cover_close.wav,,,,,wpn_discgun_lfe,,,BUS_FX,grp_weapon,snp_wpn_1p_act,,65,0,89,89,0,10000,10000,allon,default,allon,default,8,priority,1,oldest,0,0,90,90,0.25,1,no,2d,front,,nonlooping,,1,0,0,0,0,0.25,no,yes,,0,,no,,,water,over,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
