Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber,

wpn_freezegun_fire_plr,,loaded,wpn\energy\freezegun\_t8\shot\wpn_freezegun_shot.wav,,,,,wpn_freezegun_flux_l_plr,,,BUS_FX,grp_weapon,snp_wpn_1p,,50,0,75,75,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,-34,34,90,90,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_fire_plr_last,,loaded,wpn\energy\freezegun\_t8\shot\wpn_freezegun_shot.wav,,,,,wpn_freezegun_flux_l_plr,,,BUS_FX,grp_weapon,snp_wpn_1p,,50,0,75,75,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,-34,34,90,90,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_fire_npc,,loaded,wpn\energy\freezegun\_t8\shot\wpn_freezegun_shot.wav,,,,,wpn_freezegun_flux_l_npc,,,BUS_FX,grp_weapon,snp_wpn_3p,,50,0,60,60,100,400,8000,allon,default,rcurve1,default,3,oldest,3,oldest,0,0,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_fire_npc_last,,loaded,wpn\energy\freezegun\_t8\shot\wpn_freezegun_shot.wav,,,,,wpn_freezegun_flux_l_npc,,,BUS_FX,grp_weapon,snp_wpn_3p,,50,0,60,60,100,400,8000,allon,default,rcurve1,default,3,oldest,3,oldest,0,0,70,90,0.25,1,no,3d,default,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_flux_l_plr,,loaded,wpn\energy\freezegun\flux\flux_l.wav,,,,,wpn_freezegun_flux_r_plr,,,BUS_FX,grp_explosion,snp_grenade,,50,0,69,69,200,2000,2500,allon,default,allon,default,3,oldest,8,oldest,-34,34,90,90,0.25,1,no,3d,default,,nonlooping,,1,75,0,0,0,0.25,no,yes,left_shot,2000,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_flux_r_plr,,loaded,wpn\energy\freezegun\flux\flux_r.wav,,,,,,,,BUS_FX,grp_explosion,snp_grenade,,50,0,69,69,200,2000,2500,allon,default,allon,default,3,oldest,8,oldest,0,0,90,90,0.25,1,no,3d,default,,nonlooping,,1,100,0,0,0,0.25,no,no,right_shot,2000,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_flux_l_npc,,loaded,wpn\energy\freezegun\flux\flux_l.wav,,,,,wpn_freezegun_flux_r_npc,,,BUS_FX,grp_explosion,snp_grenade,,40,0,69,69,200,1800,2500,allon,default,allon,default,3,oldest,8,oldest,-34,34,90,90,0.25,1,no,3d,default,,nonlooping,,1,75,0,0,0,0.25,no,yes,left_shot,2000,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_flux_r_npc,,loaded,wpn\energy\freezegun\flux\flux_r.wav,,,,,,,,BUS_FX,grp_explosion,snp_grenade,,40,0,69,69,200,1800,2500,allon,default,allon,default,3,oldest,8,oldest,0,0,90,90,0.25,1,no,3d,default,,nonlooping,,1,100,0,0,0,0.25,no,no,right_shot,2000,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
wpn_freezegun_fire_pap_plr,,loaded,wpn\pap\systemized\plr\wpn_pap_first.wav,,,,,wpn_freezegun_fire_plr,,,BUS_FX,grp_weapon,snp_wpn_1p,,50,0,75,75,0,10000,10000,allon,default,allon,default,2,oldest,8,oldest,-34,34,90,90,0.25,1,no,2d,wpn_all,,nonlooping,,1,0,0,0,0,0.25,no,no,,0,,no,,,,,,,,,yes,no,no,0,0,yes,no,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,no,no,no,no,no,no,,,,
