Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
nsz_deny,,,_NSZ\common\deny.wav,,,UIN_MOD,,,,,,,,,0,0,100,100,0,200,200,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_step_00,,,_NSZ\Brutus\brutus_step_00.wav,,,UIN_MOD,,,,,,,,,0,0,90,95,0,750,1000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_step_01,,,_NSZ\Brutus\brutus_step_01.wav,,,UIN_MOD,,,,,,,,,0,0,90,95,0,750,1000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_prespawn,,,_NSZ\Brutus\prespawn.wav,,,UIN_MOD,,,,,,,,,0,0,85,95,0,1000,1250,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_defeated_00,,,_NSZ\Brutus\brutus_defeated_00.wav,,,UIN_MOD,,,,,,,,,0,0,95,100,0,3000,3000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_defeated_01,,,_NSZ\Brutus\brutus_defeated_01.wav,,,UIN_MOD,,,,,,,,,0,0,95,100,0,3000,3000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_defeated_02,,,_NSZ\Brutus\brutus_defeated_02.wav,,,UIN_MOD,,,,,,,,,0,0,95,100,0,3000,3000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_clang,,,_NSZ\Brutus\clang.wav,,,UIN_MOD,,,,,,,,,0,0,95,100,0,3000,3000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_spawn_short,,,_NSZ\Brutus\brutus_spawn_short.wav,,,UIN_MOD,,,,,,,,,0,0,85,95,0,1000,1250,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_vox_spawn,,,_NSZ\Brutus\vox_spawn.wav,,,UIN_MOD,,,,,,,,,0,0,85,95,0,1000,1250,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_spawn,,,_NSZ\Brutus\brutus_spawn.wav,,,UIN_MOD,,,,,,,,,0,0,85,95,0,1000,1250,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_swing_00,,,_NSZ\Brutus\brutus_swing_00.wav,,,UIN_MOD,,,,,,,,,0,0,95,100,0,300,500,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_swing_01,,,_NSZ\Brutus\brutus_swing_01.wav,,,UIN_MOD,,,,,,,,,0,0,95,100,0,300,500,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_lock,,,_NSZ\Brutus\lock.wav,,,UIN_MOD,,,,,,,,,0,0,100,100,0,3000,3000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_lock_loop,,,_NSZ\Brutus\perksacola_loop.wav,,,UIN_MOD,,,,,,,,,0,0,100,100,0,300,500,,,,,,,,,,,,,,,,3d,,,LOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_vox_swing,,,_NSZ\Brutus\vox_swing.wav,,,UIN_MOD,,,,,,,,,0,0,95,100,0,1000,2000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_vox_yell,,,_NSZ\Brutus\vox_yell.wav,,,UIN_MOD,,,,,,,,,0,0,95,100,0,1000,2000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_death,,,_NSZ\Brutus\death.wav,,,UIN_MOD,,,,,,,,,0,0,95,100,0,3000,3000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brutus_helmet,,,_NSZ\Brutus\brutus_helmet.wav,,,UIN_MOD,,,,,,,,,0,0,95,100,0,3000,3000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
