# =============================================================================
# zm_abandoned_cyber_city.csv - asset manifest for the Launcher fast-file build
#
# Every custom script / asset / sound that the game needs at runtime must be
# listed here. Stock assets referenced via #using / #include are handled
# automatically by the stock zm zone CSVs the Launcher pulls in.
#
# Format: col1 = asset type, col2 = asset name (path relative to share/raw/).
# Comments start with #.
#
# Reference: share/raw/zone_source/zm_zod.csv (or any stock zm map's CSV).
# =============================================================================

# -----------------------------------------------------------------------------
# Map entry scripts
# -----------------------------------------------------------------------------
rawfile,maps/zm/zm_abandoned_cyber_city.gsc
rawfile,maps/zm/zm_abandoned_cyber_city.csc

# -----------------------------------------------------------------------------
# Custom _acc_ scripts (server + client)
# -----------------------------------------------------------------------------
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_main.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_early_round_pacing.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_utility.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_data_shards.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_cyberware.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_overclocks.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_elites.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_map_randomizer.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_events_hack.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_events_overload.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_emergency_drop.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_modifiers.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_boss.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_boss_items.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_mega_bottles.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_weapon_abilities.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_points.gsc
rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_damage.gsc

# -----------------------------------------------------------------------------
# Client-side variants (when we add any). Uncomment as they come online.
# -----------------------------------------------------------------------------
# rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_data_shards.csc
# rawfile,scripts/zm/zm_abandoned_cyber_city/_acc_cyberware.csc

# -----------------------------------------------------------------------------
# Weapons - the v1.0 shortlist (see docs/05_weapons.md).
#
# TODO(acc-verify): exact GDT asset names. Stock BO3 zm weapon GDTs are named
# like "<weapon>_zm" in share/raw/weapons/zm/sp/. Confirm on first compile.
# Stock zm zone CSVs pull in the full vanilla arsenal automatically, so most
# of these lines may be redundant - they're listed here for intent/clarity
# and so the list is greppable.
# -----------------------------------------------------------------------------

# --- Pistols ---
# B23R: 3-round burst pistol, IMPORT (MW series). Starting weapon.
# Commented until the community-port GDT is authored (Phase 4).
# weapon,sp/b23r_zm

# --- SMG ---
# No SMG in v1.0.

# --- LMG ---
# No LMG in v1.0.

# --- AR (full-auto) ---
# ICR-1: normal tier, stock BO3.
weapon,sp/icr1_zm
# XR-2: bad tier, stock BO3 energy AR.
weapon,sp/xr2_zm
# AK-47: strong tier, IMPORT.
# weapon,sp/ak47_zm

# --- AR (semi-auto / battle rifle / DMR) ---
# M14 EBR: normal tier, IMPORT (MW2).
# weapon,sp/m14ebr_zm
# G3: bad tier, IMPORT (WAW).
# weapon,sp/g3_zm
# FN FAL: strong tier, IMPORT (BO1/BO2).
# weapon,sp/fnfal_zm

# --- Shotgun ---
# Haymaker 12: normal tier, stock BO3 auto-shotgun.
weapon,sp/haymaker12_zm
# Brecci: bad tier, stock BO3 semi-auto pump.
weapon,sp/brecci_zm
# Tac-19: strong tier, IMPORT (Advanced Warfare), directed-energy blast.
# weapon,sp/tac19_zm

# --- Sniper ---
# Intervention: normal tier (wallbuy), IMPORT (MW2).
# weapon,sp/intervention_zm
# Locus: bad tier, stock BO3 bolt-action.
weapon,sp/locus_zm
# Drakon: strong tier (box), stock BO3 semi-auto.
weapon,sp/drakon_zm

# --- Wonder Weapons ---
# Signal Staff: ranged wonder weapon, counters Subroutine Core (full boss).
# Phase 4 custom authoring in _acc_wonder_signal_staff.gsc.
# weapon,sp/signal_staff_zm
# Vibro Cleaver: melee wonder weapon, counters Juggernaut Host (mini-boss).
# Phase 4 custom authoring in _acc_wonder_vibro_cleaver.gsc.
# weapon,sp/vibro_cleaver_zm

# --- Melee ---
weapon,sp/bowie_knife_zm
# Cyber Cleaver is a Phase 5 reskin of the Bowie - same GDT, different art.
# weapon,sp/cyber_cleaver_zm

# --- Grenades ---
weapon,sp/frag_grenade_zm

# --- Custom weapons (Phase 4 - not in v1 scaffold build) ---
# EMP Grenade is a new GDT entry we author; see docs/05_weapons.md
# "Custom Weapon GSC Notes" and scripts/zm/zm_abandoned_cyber_city/
# _acc_weapon_emp_grenade.gsc (to be created in Phase 4).
# weapon,sp/emp_grenade_zm

# -----------------------------------------------------------------------------
# Custom sounds (Phase 5+).
# -----------------------------------------------------------------------------
# sound,zm_abandoned_cyber_city,,all_sp

# -----------------------------------------------------------------------------
# Custom FX (Phase 4+).
# -----------------------------------------------------------------------------
# fx,zm_abandoned_cyber_city/data_shard_glow

# -----------------------------------------------------------------------------
# Localized string table (strings referenced via #precache in .gsc files).
# -----------------------------------------------------------------------------
# localize,zm_abandoned_cyber_city

# -----------------------------------------------------------------------------
# LUI (Phase 4+).
# -----------------------------------------------------------------------------
# ui,luielem,widget/acc_data_shards_hud
# ui,luielem,widget/acc_cyberware_screen
